	summarized	lineages	abundances	resid	coverage
ENV-COV-24-0852_S92.tsv	[('BA.2.86* (BA.2.86X)', 0.9140104433552525), ('Omicron', 0.05590873452653712), ('Other', 0.026069174024977458)]	JN.1.18 JN.1.4 KP.1 JN.1.1.3 BA.2 JN.11 XDD.1 XDD JN.5	0.29654844 0.25644130 0.22580600 0.09528891 0.05590873 0.03058000 0.01303459 0.01303459 0.00934579	12.448045927054213	66.65217536702004
ENV-COV-24-0858_S93.tsv	[('BA.2.86* (BA.2.86X)', 0.9995462197745395)]	JN.1.18	0.99954622	7.513736631641624	63.147510283249176
ENV-COV-24-0865_S94.tsv	[('BA.2.86* (BA.2.86X)', 0.9986374758332592)]	JN.1.18 BA.2.86.4 JN.1.9 JN.1.11.1 KP.1 JN.1.13 JN.1.14 JN.1.8	0.61309435 0.11623469 0.08146112 0.06388190 0.05139010 0.03305260 0.02958620 0.00993652	15.125136743677349	92.84352740527706
ENV-COV-24-0870_S95.tsv	[('BA.2.86* (BA.2.86X)', 0.9993622242285933)]	BA.2.86.3	0.99936222	5.149527406525591	36.6284319299067
ENV-COV-24-0871_S96.tsv	[('BA.2.86* (BA.2.86X)', 0.9984578212495424)]	JN.1.6.1 JN.1.18 JN.1.6 JN.1.16 JN.1	0.19969156 0.19969156 0.19969156 0.19969156 0.19969156	9.20670301122675	90.46918369394375
ENV-COV-24-0958_S23.tsv	[('BA.2.86* (BA.2.86X)', 0.9995948507967984)]	KP.1 JN.1.18 BA.2.86.1 JN.1.11 JN.1.11.1	0.39265500 0.35633945 0.14325540 0.07039800 0.03694700	13.495511288364217	96.47861418586764
ENV-COV-24-0959_S24.tsv	[('BA.2.86* (BA.2.86X)', 0.9991744918669099)]	JN.1.8 KP.1 JN.11	0.54358200 0.45455854 0.00103395	11.399219635731129	81.92154633314384
ENV-COV-24-0960_S25.tsv	[('BA.2.86* (BA.2.86X)', 0.99999999999446)]	JN.3 JN.2 JN.5 JQ.1 BA.2.86.3 BA.2.86.1 BA.2.86 BA.2.86.2	0.12500000 0.12500000 0.12500000 0.12500000 0.12500000 0.12500000 0.12500000 0.12500000	9.749383241663157	47.881483463197675
ENV-COV-24-0961_S26.tsv	[('BA.2.86* (BA.2.86X)', 0.9985652669968744)]	JN.1.18 JN.1.1.3 JN.1.13	0.49852160 0.49852160 0.00152207	9.099696404302975	56.14486840785205
ENV-COV-24-0962_S27.tsv	[('Other', 0.9989768120596887)]	XDD.1.1 XDD.1	0.70666700 0.29230981	16.30510745415357	82.4398889743504
ENV-COV-24-0963_S28.tsv	[('BA.2.86* (BA.2.86X)', 0.9996825731758433)]	JN.1.18 KP.1 BA.2.86 JN.11 JN.1.9	0.43117414 0.22444400 0.19622600 0.14637000 0.00146843	15.930795600611777	94.91020967795873
ENV-COV-24-0964_S29.tsv	[('BA.2.86* (BA.2.86X)', 0.9991633639876903)]	JN.1.18	0.99916336	11.609877712813244	90.12139250242451
