	summarized	lineages	abundances	resid	coverage
ENV-COV-21-015.tsv	[('Other', 0.9897555307066327)]	B.1.1.481 B.1.137	0.49487777 0.49487777	2.053685528	19.56659867
ENV-COV-21-017.tsv	[('Beta', 0.5332399259996671), ('Other', 0.44664928488143335)]	B.1.351.5 B.1.471 B.1.206 B.1.351.3	0.53210967 0.44545150 0.00119778 0.00113026	7.861114092	28.27475504
ENV-COV-21-065.tsv	[('Delta', 0.9764479411046628), ('Other', 0.011417588812367704)]	AY.29 AY.105 AY.98 AY.110 AY.118 AY.103 AY.122 AY.44 B.1.617 AY.122.3	0.12191908 0.12191908 0.12191908 0.12191908 0.12191908 0.12191908 0.12191908 0.12191908 0.01141759 0.00109529	11.11202257	71.11995452
ENV-COV-21-074.tsv	[('Delta', 0.5283882074100117), ('Other', 0.4502311614285619)]	AY.45 C.1 AY.84 C.25 B.1.617.2	0.30870769 0.27902900 0.18606363 0.17120216 0.03361689	17.15842151	96.88994415
ENV-COV-21-098.tsv	[('Delta', 0.9912844607622282)]	AY.116 AY.4.11 AY.92 AY.4	0.75383200 0.07915082 0.07915082 0.07915082	4.658492685	86.28231281
ENV-COV-21-121.tsv	[('Delta', 0.9804741346405639), ('Other', 0.01178469999246015)]	AY.45 B.1.617.2 AY.108 AY.120 AY.5 AY.1 C.1.2	0.30408800 0.24664794 0.22906255 0.06689188 0.06689188 0.06689188 0.01178470	14.19636894	87.35912785
ENV-COV-21-134.tsv	[('Delta', 0.9911139778757945)]	AY.107 AY.91 AY.92	0.89460500 0.09074476 0.00576422	4.790520704	94.92358626
ENV-COV-21-144.tsv	[('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.9999999976781712)]	XBB.1.5.66 XBB.1.5.63 XBB.1.5.4 XBB.1.5.52 XBB.1.5.40 XBB.1.5.36 XBB.1.5.12 XBB.1.5.28 FH.1 HT.1 XBB.1.5.109 XBB.1.5.50 EU.1.1 GC.1 HP.1.1 XBB.1.5.42 HT.2 XBB.1.5.106 XBB.1.5.81 XBB.1.5.60 FT.3 FT.4 XBB.1.5.5 GG.1 EU.1 FZ.1.1 GC.2 XBB.1.5.54 XBB.1.5.102 GN.5 XBB.1.5.80 XBB.1.5.19 XBB.1.5.61 XBB.1.5.49 XBB.1.5.77 XBB.1.5.37 XBB.1.5.76 XBB.1.5.20 XBB.1.5.78 XBB.1.5.48 XBB.1.5.96 XBB.1.5.84 XBB.1.5.88 XBB.1.5.91 XBB.1.5.25 XBB.1.5.6 XBB.1.5.39 XBB.1.5.8 XBB.1.5.56 XBB.1.5.17 XBB.1.5.9 EM.1 XBB.1.5.38 HY.1 FG.3 FG.2 FZ.2 FZ.1 XBB.1.5.21 XBB.1.5.93 XBB.1.5.97 XBB.1.5.99 XBB.1.5.71 HP.1 XBB.1.5.34 XBB.1.5.51 GN.3 GN.4 XBB.1.5.59 XBB.1.5.67 XBB.1.5.7 XBB.1.5.79 XBB.1.5.35 XBB.1.5.100 XBB.1.5.33 XBB.1.5.107 XBB.1.5.16 XBB.1.5.11 XBB.1.5.26 XBB.1.5.47 XBB.1.5.62 XBB.1.5.30 XBB.1.5.2 XBB.1.5.18 XBB.1.5.3 XBB.1.5.55 XBB.1.5.31 XBB.1.5.73 XBB.1.5.72 JD.1.2 EU.1.1.2 JD.1 JD.2 GR.1 XBB.1.5.27 FT.1	0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667 0.01041667	0.692141973	6.705012875
ENV-COV-21-147.tsv	[('Other', 0.9966838618606515)]	B.1.177.29 AZ.4 GL.3 XAY.1.1.3 GL.2 GL.1 XAY.1.1.2 XAY.1.1.1 XAY.2.1 XAY.1.2 XAY.1 XAY.1.1 XAY XAY.2	0.12442741 0.12442741 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909 0.06231909	0.611775252	1.320937699
ENV-COV-21-187.tsv	[('Delta', 0.9956836062406529)]	AY.32	0.99568361	2.542558626	33.89960873
ENV-COV-21-193.tsv	[('Delta', 0.7929470966347373), ('Other', 0.19883018296183624)]	XD AY.82 AY.45 AY.80 AY.88 AY.20 AY.76 AY.78 AY.105 AY.124 AY.104 AY.23 AY.114 AY.107 AY.92 AY.29 AY.46.1 AY.46.4 AY.46.6 AY.46.2 AY.4.3 AY.33 AY.44 AY.79 AY.98 AY.103 AY.127 AY.111 AY.106 AY.119.1 AY.126 AY.120 AY.42 AY.1 AY.112 AY.110 AY.6 AY.119 AY.3 AY.46 AY.4 AY.5 AY.118 AY.4.8 AY.4.12 AY.4.13 AY.4.2 AY.112.3 AY.4.2.3 AY.4.2.2 AY.103.1 AY.3.1 AY.93 AY.5.7 AY.41 AY.3.2 AY.4.10 AY.4.2.5 AY.4.16 AY.3.3 AY.122 AY.4.1 AY.116 AY.4.2.4 AY.23.1 AY.95 AY.32 AY.112.1 AY.29.1 AY.119.2 AY.121 AY.130 AY.4.5 AY.4.9 AY.131 AY.5.4 AY.5.2 AY.5.5 AY.120.1 AY.122.1 AY.22 AY.116.1 AY.108 AY.4.4 AY.120.2 AY.5.3	0.19883018 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879 0.00932879	1.203311187	10.37019697
