SiteProvince,DistrictName,EpiWeek,SampleCollectionDate,LabNumber,Sequence_ID,SiteName
Gauteng,Ekurhuleni MM,15.0,2021-04-13,ENV-COV-21-015,ENV-COV-21-015,Olifantsfontein
Gauteng,Ekurhuleni MM,20.0,2021-05-17,ENV-COV-21-017,ENV-COV-21-017,Olifantsfontein
Gauteng,Ekurhuleni MM,26.0,2021-07-01,ENV-COV-21-065,ENV-COV-21-065,Olifantsfontein
Free State,Mangaung MM,27.0,2021-07-06,ENV-COV-21-074,ENV-COV-21-074,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,30.0,2021-07-27,ENV-COV-21-098,ENV-COV-21-098,Sterkwater Wastewater Treatment Works
Gauteng,Ekurhuleni MM,32.0,2021-08-10,ENV-COV-21-121,ENV-COV-21-121,Olifantsfontein
Northern Cape,Namakwa DM,33.0,2021-08-18,ENV-COV-21-134,ENV-COV-21-134,Calvinia  Wastewater Treatment Works
Gauteng,Ekurhuleni MM,35.0,2021-08-31,ENV-COV-21-144,ENV-COV-21-144,Hartebeesfontein Waterworks
Gauteng,Tshwane MM,35.0,2021-08-31,ENV-COV-21-147,ENV-COV-21-147,Rooiwal Wastewater Treatment Works
Northern Cape,Namakwa DM,38.0,2021-09-21,ENV-COV-21-187,ENV-COV-21-187,Calvinia  Wastewater Treatment Works
Free State,Mangaung MM,39.0,2021-09-28,ENV-COV-21-193,ENV-COV-21-193,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,39.0,2021-09-28,ENV-COV-21-194,ENV-COV-21-194,Sterkwater Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,40.0,2021-10-05,ENV-COV-21-199,ENV-COV-21-199,Central Wastewater Treatment Works (KZN)
Northern Cape,Namakwa DM,41.0,2021-10-13,ENV-COV-21-216,ENV-COV-21-216,Calvinia  Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2021-10-19,ENV-COV-21-220,ENV-COV-21-220,Rooiwal Wastewater Treatment Works
