	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-21-065	2	2	2	Gauteng	Ekurhuleni MM	26.0	2021-07-01	COV-21-065	Olifantsfontein	Delta Other	[0.9764479299999999, 0.01141759]
COV-21-074	3	3	3	Free State	Mangaung MM	27.0	2021-07-06	COV-21-074	Sterkwater Wastewater Treatment Works	Delta Other	[0.52838821, 0.45023116]
COV-21-098	4	4	4	Free State	Mangaung MM	30.0	2021-07-27	COV-21-098	Sterkwater Wastewater Treatment Works	Delta	[0.9912844599999998]
COV-21-121	5	5	5	Gauteng	Ekurhuleni MM	32.0	2021-08-10	COV-21-121	Olifantsfontein	Delta Other	[0.98047413, 0.0117847]
COV-21-134	6	6	6	Northern Cape	Namakwa DM	33.0	2021-08-18	COV-21-134	Calvinia  Wastewater Treatment Works	Delta	[0.99111398]
COV-21-199	12	12	12	KwaZulu-Natal	Ethekwini MM	40.0	2021-10-05	COV-21-199	Central Wastewater Treatment Works (KZN)	BQ.1.1.X	[0.9979939999999999]
COV-21-224	16	16	16	KwaZulu-Natal	Ethekwini MM	42.0	2021-10-18	COV-21-224	Central Wastewater Treatment Works (KZN)	XBB.1.5.X	[0.99594936]
COV-21-230	20	20	20	Free State	Mangaung MM	43.0	2021-10-26	COV-21-230	Sterkwater Wastewater Treatment Works	Delta Other	[0.51206779, 0.47943579]
COV-21-286	27	27	27	Gauteng	Ekurhuleni MM	49.0	2021-12-06	COV-21-286	ERWAT Vlakplaat Wastewater Treatment Works	BA.1.X	[0.99890545]
COV-21-287	28	28	28	Gauteng	Johannesburg MM	49.0	2021-12-06	COV-21-287	Goudkoppies Wastewater Treatment Works	BA.1.X	[0.99806238]
COV-21-289	30	30	30	KwaZulu-Natal	Ethekwini MM	49.0	2021-12-07	COV-21-289	Central Wastewater Treatment Works (KZN)	BA.1.X	[0.99926374]
COV-21-290	31	31	31	KwaZulu-Natal	Ethekwini MM	49.0	2021-12-07	COV-21-290	Northern Wastewater Treatment Works (KZN)	BA.1.X	[0.99935686]
COV-21-291	32	32	32	Free State	Mangaung MM	49.0	2021-12-07	COV-21-291	Sterkwater Wastewater Treatment Works	BA.1.X	[0.99823419]
COV-21-292	33	33	33	Free State	Mangaung MM	49.0	2021-12-07	COV-21-292	Bloemspruit Wastewater Treatment Works	Delta	[0.99749371]
COV-21-295	36	36	36	Gauteng	Ekurhuleni MM	50.0	2021-12-14	COV-21-295	Hartebeesfontein Waterworks	BA.1.X	[0.9983877500000002]
COV-21-296	37	37	37	KwaZulu-Natal	Ethekwini MM	50.0	2021-12-13	COV-21-296	Northern Wastewater Treatment Works (KZN)	BA.1.X	[0.99872515]
COV-21-297	38	38	38	KwaZulu-Natal	Ethekwini MM	50.0	2021-12-13	COV-21-297	Central Wastewater Treatment Works (KZN)	BA.1.X	[0.9996045899999999]
COV-21-300	41	41	41	Free State	Mangaung MM	50.0	2021-12-14	COV-21-300	Bloemspruit Wastewater Treatment Works	BA.1.X	[0.9982256399999999]
COV-21-301	42	42	42	Gauteng	Ekurhuleni MM	51.0	2021-12-20	COV-21-301	ERWAT Vlakplaat Wastewater Treatment Works	BA.1.X	[0.9980798000000001]
COV-21-303	44	44	44	Gauteng	Tshwane MM	51.0	2021-12-21	COV-21-303	Daspoort Wastewater Treatment Works	BA.1.X	[0.99914299]
COV-21-306	46	46	46	Eastern Cape	Buffalo City MM	51.0	2021-12-21	COV-21-306	Mdantsane Wastewater Treatment Works	BA.1.X	[0.9994513]
COV-22-0412	47	47	47	Gauteng	Tshwane MM	23.0	2022-06-07	COV-22-0412	Daspoort Wastewater Treatment Works	BA.4.X BA.5.X	[0.79251207, 0.20358427]
COV-22-10	49	49	49	Gauteng	Tshwane MM	2.0	2022-01-11	COV-22-10	Rooiwal Wastewater Treatment Works	BA.2.X BA.1.X Recombinants Other	[0.74755958, 0.01293306, 0.16399718, 0.07315798]
COV-22-101	51	51	51	Gauteng	Ekurhuleni MM	13.0	2022-03-29	COV-22-101	Hartebeesfontein Waterworks	BA.4.X BA.2.X Recombinants	[0.5774505, 0.24748656, 0.17175133]
COV-22-102	52	52	52	KwaZulu-Natal	Ethekwini MM	13.0	2022-03-28	COV-22-102	Central Wastewater Treatment Works (KZN)	BA.5.X BA.4.X	[0.6073427, 0.3903986]
COV-22-103	53	53	53	KwaZulu-Natal	Ethekwini MM	13.0	2022-03-28	COV-22-103	Northern Wastewater Treatment Works (KZN)	BA.5.X BA.2.X	[0.64597984, 0.34822578000000004]
COV-22-104	54	54	54	Gauteng	Tshwane MM	13.0	2022-03-29	COV-22-104	Rooiwal Wastewater Treatment Works	BA.2.X BA.5.X	[0.79616591, 0.20150352]
