National Catchment sites,Subcatchment sites
Daspoort Wastewater Treatment Works,Chris Hani Baragwanath Hospital
Rooiwal Wastewater Treatment Works,Motsoaledi
Goudkoppies Wastewater Treatment Works,Klipsruit Yard (Before tunnel)
Northern Wastewater Treatment Works (GP),Klipspruit Veggies (After tunnel)
ERWAT Vlakplaat Wastewater Treatment Works,Bushkoppies Inlet
Hartebeesfontein Waterworks,Bushkoppies Final
Central Wastewater Treatment Works (KZN),Daspoort Wastewater Treatment Works
Northern Wastewater Treatment Works (KZN),SAPS Training College
Brickfield Pre-treatment Works,Rooiwal Wastewater Treatment Works
Kwanobuhle Wastewater Treatment Works,Groenkloof
East Bank Wastewater Treatment Works,CBD Train Staton
Mdantsane Wastewater Treatment Works,Vergenoeg
Bloemspruit Wastewater Treatment Works,Kalafong Hospital
Sterkwater Wastewater Treatment Works,Ladium
Borcheds Quarry Wastewater Treatment Works,Olifantsfontein 
Zandvleit Wastewater Treatment Works,Midstream
Boitekong,Tembisa Hospital Downstream
Musina WWTW (in town),Namane Drive
Kingstonvale,Moloreng
,Sasol Garage
